Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
8/28/2022 11:58:48,17,Spotify,3,1.0,0.0,0.0,Classical,1.0,1.0,120,3.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,2.0,6,6,8,2,2.0,I understand.
8/28/2022 12:08:29,18,Spotify,4,1.0,0.0,0.0,Metal,1.0,1.0,77,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,1,0,8,2,1.0,I understand.
8/28/2022 12:12:35,17,I do 0.0t use a streaming service.,1,1.0,1.0,1.0,Folk,0.0,0.0,118,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7,3,1,5,2.0,I understand.
8/28/2022 12:15:02,36,Spotify,1,0.0,1.0,1.0,Classical,0.0,0.0,132,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,8,9,3,0,1.0,I understand.
8/28/2022 12:23:52,24,Spotify,3,1.0,0.0,0.0,Rock,1.0,1.0,115,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0,9,6,4,3,2.0,I understand.
8/28/2022 12:30:08,18,Spotify,5,1.0,0.0,1.0,Metal,1.0,1.0,157,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,7,9,5,0,2.0,I understand.
8/28/2022 12:32:09,19,Spotify,3,1.0,0.0,0.0,Pop,0.0,1.0,90,2.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,7,4,2,4,1.0,I understand.
8/28/2022 12:37:17,17,Apple Music,2,1.0,1.0,0.0,EDM,1.0,0.0,128,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,0,0,0,0,2.0,I understand.
8/28/2022 12:39:49,16,Spotify,6,1.0,0.0,0.0,K pop,1.0,1.0,169,1.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,0.0,7,8,7,5,2.0,I understand.
8/28/2022 12:52:19,23,Apple Music,1,0.0,0.0,0.0,Rap,0.0,1.0,140,2.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,10,6,3,10,1.0,I understand.
